exercise_id,external_id,name,category,existing_movement_pattern,proposed_movement_pattern,existing_primary_muscles,existing_secondary_muscles,primary_muscles,secondary_muscles,involved_muscles,unmapped_muscle_labels,proposed_volume_credits,volume_policy,primary_assignment,equipment,laterality,measurement_type,exercise_kind,fatigue_cost,skill_demand,program_roles,default_rep_min,default_rep_max,warmup_eligible,power_eligible,ramp_eligible,cooldown_eligible,review_required,review_reason,confidence,provenance,demand_notes
master:135,135,90/90 Hip Rotation,Mobility,rotation,other,,,,hip_flexors; glutes,hip_flexors; glutes,,,zero_non_hypertrophy,none_intentional,Bodyweight,bilateral,reps,isolation,low,low,warmup; isolation; accessory,1,8,true,false,false,true,false,,high,builtiq_master | master_movement=Hip Rotation | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; low skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:106,106,Ab Wheel Rollout,Core,other,core_anti_extension,abs,,abs,lats; hip_flexors,abs; lats; hip_flexors,,abs:1,core,assigned,Ab Wheel,bilateral,reps,isolation,medium,medium,isolation; accessory,8,15,false,false,false,false,false,,high,builtiq_master | master_movement=Anti-Extension | quality_pass_BIQ-0212 | review_only_not_applied,Lats stabilize; they and side delts do not receive hypertrophy credit.; isolation core anti extension; medium fatigue; medium skill; bilateral; reps measurement; volume policy core; hypertrophy credits abs:1
master:238,238,Active Hang,Isometric,vertical_pull,other,,,,lats; upper_back; forearms,lats; upper_back; forearms,,,zero_non_hypertrophy,none_intentional,Bodyweight,bilateral,time,isolation,low,low,warmup; accessory,15,45,true,false,false,false,false,,high,builtiq_master | master_movement=Hang | quality_pass_BIQ-0212 | review_only_not_applied,Scapular/grip hang. Not a vertical-pull working movement and not ramp-eligible.; isolation other; low fatigue; low skill; bilateral; time measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:137,137,Adductor Rockback,Mobility,rotation,other,adductors,,,adductors; hip_flexors,adductors; hip_flexors,,,zero_non_hypertrophy,none_intentional,Bodyweight,bilateral,reps,isolation,low,low,warmup; isolation; accessory,1,8,true,false,false,true,false,,high,builtiq_master | master_movement=Hip Mobility | quality_pass_BIQ-0212 | review_only_not_applied,isolation other; low fatigue; low skill; bilateral; reps measurement; volume policy zero_non_hypertrophy; no hypertrophy primary by design; zero hypertrophy volume credit
master:30,30,Arnold Press,Compound,vertical_push,vertical_push,side_delts,,front_delts,side_delts; triceps,front_delts; side_delts; triceps,,front_delts:1; triceps:0.5,strength_hypertrophy,assigned,Dumbbell,bilateral,reps,compound,medium,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Vertical Push | quality_pass_BIQ-0212 | review_only_not_applied,"compound vertical push; medium fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits front_delts:1, triceps:0.5"
master:147,147,Assisted Dip,Compound,vertical_push,vertical_push,triceps,,triceps,chest; front_delts,triceps; chest; front_delts,,triceps:1,strength_hypertrophy,assigned,Machine,bilateral,reps,compound,medium,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Vertical Push | quality_pass_BIQ-0212 | review_only_not_applied,compound vertical push; medium fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits triceps:1
master:146,146,Assisted Pull-Up,Compound,vertical_pull,vertical_pull,lats,,lats,biceps; upper_back,lats; biceps; upper_back,,lats:1; biceps:0.5,strength_hypertrophy,assigned,Machine,bilateral,reps,compound,high,medium,primary; secondary,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Vertical Pull | quality_pass_BIQ-0212 | review_only_not_applied,"compound vertical pull; high fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits lats:1, biceps:0.5"
master:209,209,B-Stance Hip Thrust,Unilateral Bias,hinge,hinge,glutes,,glutes,hamstrings,glutes; hamstrings,,glutes:1; hamstrings:0.5,strength_hypertrophy,assigned,Barbell,unilateral,reps,compound,high,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Hip Extension | quality_pass_BIQ-0212 | review_only_not_applied,"compound hinge; high fatigue; medium skill; unilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits glutes:1, hamstrings:0.5"
master:208,208,B-Stance Romanian Deadlift,Unilateral Bias,hinge,hinge,hamstrings,,hamstrings,glutes; spinal_erectors,hamstrings; glutes; spinal_erectors,,hamstrings:1; glutes:0.5,strength_hypertrophy,assigned,Dumbbell,unilateral,reps,compound,high,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Hinge | quality_pass_BIQ-0212 | review_only_not_applied,"Staggered/asymmetrical hinge. Not bilateral just because ""single"" is absent.; compound hinge; high fatigue; medium skill; unilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits hamstrings:1, glutes:0.5"
master:80,80,Back Extension,Accessory,hinge,hinge,spinal_erectors,,spinal_erectors,glutes; hamstrings,spinal_erectors; glutes; hamstrings,,spinal_erectors:1,strength_hypertrophy,assigned,Bodyweight,bilateral,reps,compound,medium,medium,secondary; accessory,5,10,false,false,true,false,false,,high,builtiq_master | master_movement=Hip Extension | quality_pass_BIQ-0212 | review_only_not_applied,compound hinge; medium fatigue; medium skill; bilateral; reps measurement; volume policy strength_hypertrophy; hypertrophy credits spinal_erectors:1
