id,name,external_source,external_id,exercise_type,category,muscle_group,equipment,movement_pattern,instructions,thumbnail_url,gif_url,media_url,is_system,is_archived
0001,3/4 sit-up,exercisedb,0001,waist,waist,hip flexors,body weight,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions.",images/0001-2gPfomN.jpg,videos/0001-2gPfomN.gif,videos/0001-2gPfomN.gif,true,false
0002,45° side bend,exercisedb,0002,waist,waist,obliques,body weight,,"Stand with your feet shoulder-width apart and your arms extended straight down by your sides. Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee. Pause for a moment at the bottom, then slowly return to the starting position. Repeat on the other side. Continue alternating sides for the desired number of repetitions.",images/0002-Hy9D21L.jpg,videos/0002-Hy9D21L.gif,videos/0002-Hy9D21L.gif,true,false
0003,air bike,exercisedb,0003,waist,waist,hip flexors,body weight,,"Lie flat on your back with your hands placed behind your head. Lift your legs off the ground and bend your knees at a 90-degree angle. Bring your right elbow towards your left knee while simultaneously straightening your right leg. Return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg. Continue alternating sides in a pedaling motion for the desired number of repetitions.",images/0003-1ZFqTDN.jpg,videos/0003-1ZFqTDN.gif,videos/0003-1ZFqTDN.gif,true,false
1512,all fours squad stretch,exercisedb,1512,upper legs,upper legs,hamstrings,body weight,,"Start on all fours with your hands directly under your shoulders and your knees directly under your hips. Extend one leg straight back, keeping your knee bent and your foot flexed. Slowly lower your hips towards the ground, feeling a stretch in your quads. Hold this position for 20-30 seconds. Switch legs and repeat the stretch on the other side.",images/1512-qBcKorM.jpg,videos/1512-qBcKorM.gif,videos/1512-qBcKorM.gif,true,false
0006,alternate heel touchers,exercisedb,0006,waist,waist,obliques,body weight,,"Lie flat on your back with your knees bent and feet flat on the ground. Extend your arms straight out to the sides, parallel to the ground. Engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel. Return to the starting position and repeat on the left side, reaching your left hand towards your left heel. Continue alternating sides for the desired number of repetitions.",images/0006-qaZVsGk.jpg,videos/0006-qaZVsGk.gif,videos/0006-qaZVsGk.gif,true,false
0007,alternate lateral pulldown,exercisedb,0007,back,back,biceps,cable,,"Sit on the cable machine with your back straight and feet flat on the ground. Grasp the handles with an overhand grip, slightly wider than shoulder-width apart. Lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together. Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position. Repeat for the desired number of repetitions.",images/0007-4IKbhHV.jpg,videos/0007-4IKbhHV.gif,videos/0007-4IKbhHV.gif,true,false
1368,ankle circles,exercisedb,1368,lower legs,lower legs,ankle stabilizers,body weight,,"Sit on the ground with your legs extended in front of you. Lift one leg off the ground and rotate your ankle in a circular motion. Perform the desired number of circles in one direction, then switch to the other direction. Repeat with the other leg.",images/1368-uL9CsKm.jpg,videos/1368-uL9CsKm.gif,videos/1368-uL9CsKm.gif,true,false
3293,archer pull up,exercisedb,3293,back,back,biceps,body weight,,"Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart. Engage your core and pull your shoulder blades down and back. As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight. Continue pulling until your chin is above the bar and your bent arm is fully flexed. Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side. Alternate sides with each repetition.",images/3293-72BC5Za.jpg,videos/3293-72BC5Za.gif,videos/3293-72BC5Za.gif,true,false
3294,archer push up,exercisedb,3294,chest,chest,triceps,body weight,,"Start in a push-up position with your hands slightly wider than shoulder-width apart. Extend one arm straight out to the side, parallel to the ground. Lower your body by bending your elbows, keeping your back straight and core engaged. Push back up to the starting position. Repeat on the other side, extending the opposite arm out to the side. Continue alternating sides for the desired number of repetitions.",images/3294-A9qxk2F.jpg,videos/3294-A9qxk2F.gif,videos/3294-A9qxk2F.gif,true,false
2355,arm slingers hanging bent knee legs,exercisedb,2355,waist,waist,shoulders,body weight,,"Hang from a pull-up bar with your arms fully extended and your knees bent at a 90-degree angle. Engage your core and lift your knees towards your chest, bringing them as close to your elbows as possible. Slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",images/2355-uWpxD4v.jpg,videos/2355-uWpxD4v.gif,videos/2355-uWpxD4v.gif,true,false
2333,arm slingers hanging straight legs,exercisedb,2333,waist,waist,shoulders,body weight,,"Hang from a pull-up bar with your arms fully extended and your legs straight down. Engage your core and lift your legs up in front of you until they are parallel to the ground. Hold for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",images/2333-PXTIwgu.jpg,videos/2333-PXTIwgu.gif,videos/2333-PXTIwgu.gif,true,false
3214,arms apart circular toe touch (male),exercisedb,3214,upper legs,upper legs,hamstrings,body weight,,"Stand with your feet shoulder-width apart and arms extended to the sides. Keeping your legs straight, bend forward at the waist and reach down towards your toes with your right hand. As you reach down, simultaneously lift your left leg straight up behind you, maintaining balance. Return to the starting position and repeat the movement with your left hand reaching towards your toes and your right leg lifting up behind you. Continue alternating sides for the desired number of repetitions.",images/3214-RtyAsy1.jpg,videos/3214-RtyAsy1.gif,videos/3214-RtyAsy1.gif,true,false
3204,arms overhead full sit-up (male),exercisedb,3204,waist,waist,hip flexors,body weight,,"Lie flat on your back with your knees bent and feet flat on the ground. Extend your arms overhead, keeping them straight. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is upright. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions.",images/3204-NAkmgdx.jpg,videos/3204-NAkmgdx.gif,videos/3204-NAkmgdx.gif,true,false
0009,assisted chest dip (kneeling),exercisedb,0009,chest,chest,triceps,leverage machine,,"Adjust the machine to your desired height and secure your knees on the pad. Grasp the handles with your palms facing down and your arms fully extended. Lower your body by bending your elbows until your upper arms are parallel to the floor. Pause for a moment, then push yourself back up to the starting position. Repeat for the desired number of repetitions.",images/0009-PAgTVaK.jpg,videos/0009-PAgTVaK.gif,videos/0009-PAgTVaK.gif,true,false
0011,assisted hanging knee raise,exercisedb,0011,waist,waist,hip flexors,assisted,,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core muscles and lift your knees towards your chest, bending at the hips and knees. Pause for a moment at the top of the movement, squeezing your abs. Slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",images/0011-03lzqwk.jpg,videos/0011-03lzqwk.gif,videos/0011-03lzqwk.gif,true,false
0010,assisted hanging knee raise with throw down,exercisedb,0010,waist,waist,hip flexors,assisted,,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core and lift your knees towards your chest, keeping your legs together. Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully. Allow your legs to swing back up and repeat the movement for the desired number of repetitions.",images/0010-8K0w2yA.jpg,videos/0010-8K0w2yA.gif,videos/0010-8K0w2yA.gif,true,false
1708,assisted lying calves stretch,exercisedb,1708,lower legs,lower legs,hamstrings,assisted,,"Lie on your back with your legs extended. Bend one knee and place your foot flat on the ground. Using your hands or a towel, gently pull your toes towards your body, feeling a stretch in your calf. Hold the stretch for 20-30 seconds. Release the stretch and repeat on the other leg.",images/1708-GxDwDX0.jpg,videos/1708-GxDwDX0.gif,videos/1708-GxDwDX0.gif,true,false
